date,name,is_holiday
2018-01-01,New Year's Day,1
2018-02-15,The day preceding of Lunar New Year's Day,1
2018-02-16,Lunar New Year's Day,1
2018-02-17,The second day of Lunar New Year's Day,1
2018-03-01,Independence Movement Day,1
2018-05-01,Labour Day,1
2018-05-05,Children's Day,1
2018-05-07,Alternative holiday of Children's Day,1
2018-05-22,Birthday of the Buddha,1
2018-06-06,Memorial Day,1
2018-08-15,Liberation Day,1
2018-09-23,The day preceding of Chuseok,1
2018-09-24,Chuseok,1
2018-09-25,The second day of Chuseok,1
2018-09-26,Alternative holiday of Chuseok,1
2018-10-03,National Foundation Day,1
2018-10-09,Hangeul Day,1
2018-12-25,Christmas Day,1
2019-01-01,New Year's Day,1
2019-02-04,The day preceding of Lunar New Year's Day,1
2019-02-05,Lunar New Year's Day,1
2019-02-06,The second day of Lunar New Year's Day,1
2019-03-01,Independence Movement Day,1
2019-05-01,Labour Day,1
2019-05-05,Children's Day,1
2019-05-06,Alternative holiday of Children's Day,1
2019-05-12,Birthday of the Buddha,1
2019-06-06,Memorial Day,1
2019-08-15,Liberation Day,1
2019-09-12,The day preceding of Chuseok,1
2019-09-13,Chuseok,1
2019-09-14,The second day of Chuseok,1
2019-10-03,National Foundation Day,1
2019-10-09,Hangeul Day,1
2019-12-25,Christmas Day,1
2020-01-01,New Year's Day,1
2020-01-24,The day preceding of Lunar New Year's Day,1
2020-01-25,Lunar New Year's Day,1
2020-01-26,The second day of Lunar New Year's Day,1
2020-01-27,Alternative holiday of Lunar New Year's Day,1
2020-03-01,Independence Movement Day,1
2020-03-02,Alternative holiday of Independence Movement Day,1
2020-04-30,Birthday of the Buddha,1
2020-05-01,Labour Day,1
2020-05-05,Children's Day,1
2020-06-06,Memorial Day,1
2020-08-15,Liberation Day,1
2020-09-30,The day preceding of Chuseok,1
2020-10-01,Chuseok,1
2020-10-02,The second day of Chuseok,1
2020-10-03,National Foundation Day,1
2020-10-09,Hangeul Day,1
2020-12-25,Christmas Day,1
